customerID,MonthlyCharges,Contract,InternetService,Churn
7590-VHVEG,29.85,Month-to-month,DSL,No
5575-GNVDE,56.95,One year,DSL,No
3668-QPYBK,53.85,Month-to-month,DSL,Yes
7795-CFOCW,42.3,One year,DSL,No
9237-HQITU,70.7,Month-to-month,Fiber optic,Yes
9305-CDSKC,99.65,Month-to-month,Fiber optic,Yes
1452-KIOVK,89.1,Month-to-month,Fiber optic,No
6713-OKOMC,29.75,Month-to-month,DSL,No
7892-POOKP,104.8,Month-to-month,Fiber optic,Yes
6388-TABGU,56.15,One year,DSL,No
9763-GRSKD,49.95,Month-to-month,DSL,No
7469-LKBCI,18.95,Two year,No,No
8091-TTVAX,100.35,One year,Fiber optic,No
0280-XJGEX,103.7,Month-to-month,Fiber optic,Yes
5129-JLPIS,105.5,Month-to-month,Fiber optic,No
3655-SNQYZ,113.25,Two year,Fiber optic,No
8191-XWSZG,20.65,One year,No,No
9959-WOFKT,106.7,Two year,Fiber optic,No
4190-MFLUW,55.2,Month-to-month,DSL,Yes
4183-MYFRB,90.05,Month-to-month,Fiber optic,No
8779-QRDMV,39.65,Month-to-month,DSL,Yes
1680-VDCWW,19.8,One year,No,No
1066-JKSGK,20.15,Month-to-month,No,Yes
3638-WEABW,59.9,Two year,DSL,No
6322-HRPFA,59.6,Month-to-month,DSL,No
6865-JZNKO,55.3,Month-to-month,DSL,No
6467-CHFZW,99.35,Month-to-month,Fiber optic,Yes
8665-UTDHZ,30.2,Month-to-month,DSL,Yes
5248-YGIJN,90.25,Two year,DSL,No
8773-HHUOZ,64.7,Month-to-month,DSL,Yes
3841-NFECX,96.35,Two year,Fiber optic,No
4929-XIHVW,95.5,Month-to-month,Fiber optic,No
6827-IEAUQ,66.15,One year,DSL,No
7310-EGVHZ,20.2,Month-to-month,No,No
3413-BMNZE,45.25,Month-to-month,DSL,No
6234-RAAPL,99.9,Two year,Fiber optic,No
6047-YHPVI,69.7,Month-to-month,Fiber optic,Yes
6572-ADKRS,74.8,Month-to-month,Fiber optic,No
5380-WJKOV,106.35,Month-to-month,Fiber optic,Yes
8168-UQWWF,97.85,Month-to-month,Fiber optic,Yes
8865-TNMNX,49.55,One year,DSL,No
9489-DEDVP,69.2,Two year,DSL,No
9867-JCZSP,20.75,One year,No,No
4671-VJLCL,79.85,Two year,DSL,No
4080-IIARD,76.2,Month-to-month,DSL,No
3714-NTNFO,84.5,Month-to-month,Fiber optic,No
5948-UJZLF,49.25,Month-to-month,DSL,No
7760-OYPDY,80.65,Month-to-month,Fiber optic,Yes
7639-LIAYI,79.75,Two year,DSL,No
2954-PIBKO,64.15,Two year,DSL,No
8012-SOUDQ,90.25,Month-to-month,Fiber optic,No
9420-LOJKX,99.1,Month-to-month,Fiber optic,Yes
6575-SUVOI,69.5,Month-to-month,DSL,No
7495-OOKFY,80.65,Month-to-month,Fiber optic,Yes
4667-QONEA,74.85,One year,DSL,No
1658-BYGOY,95.45,Month-to-month,Fiber optic,Yes
8769-KKTPH,99.65,One year,Fiber optic,No
5067-XJQFU,108.45,One year,Fiber optic,No
3957-SQXML,24.95,Two year,No,No
5954-BDFSG,107.5,Two year,Fiber optic,No
0434-CSFON,100.5,Month-to-month,Fiber optic,No
1215-FIGMP,89.9,Month-to-month,Fiber optic,No
0526-SXDJP,42.1,Two year,DSL,No
0557-ASKVU,54.4,One year,DSL,No
5698-BQJOH,94.4,Month-to-month,Fiber optic,Yes
5122-CYFXA,75.3,Month-to-month,DSL,No
8627-ZYGSZ,78.9,One year,Fiber optic,No
3410-YOQBQ,79.2,Two year,DSL,No
3170-NMYVV,20.15,Two year,No,No
7410-OIEDU,79.85,Month-to-month,Fiber optic,No
2273-QCKXA,49.05,Month-to-month,DSL,No
0731-EBJQB,20.4,One year,No,No
1891-QRQSA,111.6,Two year,Fiber optic,No
8028-PNXHQ,24.25,Two year,No,No
5630-AHZIL,64.5,Month-to-month,DSL,No
2673-CXQEU,110.5,One year,Fiber optic,No
6416-JNVRK,55.65,One year,DSL,No
5590-ZSKRV,54.65,Month-to-month,DSL,No
0191-ZHSKZ,74.75,Month-to-month,DSL,No
3887-PBQAO,25.9,One year,No,No
5919-TMRGD,79.35,Month-to-month,Fiber optic,Yes
8108-UXRQN,50.55,Month-to-month,DSL,No
9191-MYQKX,75.15,Month-to-month,Fiber optic,Yes
9919-YLNNG,103.8,Month-to-month,Fiber optic,No
0318-ZOPWS,20.15,Two year,No,No
4445-ZJNMU,99.3,Month-to-month,Fiber optic,No
4808-YNLEU,62.15,One year,DSL,No
1862-QRWPE,20.65,Two year,No,No
2796-NNUFI,19.95,Two year,No,No
3016-KSVCP,33.75,Month-to-month,DSL,No
4767-HZZHQ,82.05,Month-to-month,Fiber optic,No
2424-WVHPL,74.7,Month-to-month,Fiber optic,No
7233-PAHHL,84,Two year,DSL,No
6067-NGCEU,111.05,Month-to-month,Fiber optic,No
9848-JQJTX,100.9,Two year,Fiber optic,No
8637-XJIVR,78.95,Month-to-month,Fiber optic,Yes
9803-FTJCG,66.85,One year,DSL,No
0278-YXOOG,21.05,Month-to-month,No,Yes
3212-KXOCR,21,Two year,No,No
4598-XLKNJ,98.5,Month-to-month,Fiber optic,Yes
6380-ARCEH,20.2,Month-to-month,No,No
3679-XASPY,19.45,Month-to-month,No,No
7123-WQUHX,95,One year,Fiber optic,No
5386-THSLQ,45.55,One year,DSL,No
3192-NQECA,110,Two year,Fiber optic,Yes
6180-YBIQI,24.3,Month-to-month,DSL,No
6728-DKUCO,104.15,One year,Fiber optic,No
9750-BOOHV,30.15,One year,DSL,No
8597-CWYHH,94.35,One year,Fiber optic,No
2848-YXSMW,19.4,Two year,No,No
0486-HECZI,96.75,Month-to-month,Fiber optic,Yes
4549-ZDQYY,57.95,One year,DSL,No
5712-AHQNN,91.65,Month-to-month,Fiber optic,No
4846-WHAFZ,76.5,Month-to-month,Fiber optic,Yes
5256-SKJGO,54.6,Two year,DSL,No
3071-VBYPO,89.85,Month-to-month,Fiber optic,No
9560-BBZXK,31.05,Two year,DSL,No
5299-RULOA,100.25,Month-to-month,Fiber optic,Yes
8402-OOOHJ,20.65,Two year,No,No
9445-ZUEQE,85.2,Month-to-month,Fiber optic,No
